@relation 'statAttr-weka.filters.unsupervised.attribute.Remove-R1-14,18-19'

@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute label {important,unimportant}

@data
17558,1505,1,unimportant
4771,873,0,unimportant
4639,1042,1,unimportant
2759,394,1,unimportant
7762,1213,1,unimportant
150086,7646,0,unimportant
142468,6763,0,unimportant
5268,1040,1,unimportant
11345,1407,1,unimportant
3860,956,1,unimportant
25212,2082,1,important
11430,1336,1,important
35294,2928,1,important
14778,1761,1,important
4025,627,1,important
35396,3117,1,important
34360,2353,1,important
5063,561,1,important
24580,2155,1,important
93348,4762,1,unimportant
133058,6626,0,unimportant
15723,2237,1,unimportant
16391,1774,1,unimportant
3372,966,1,unimportant
14687,1720,1,unimportant
7765,1129,1,unimportant
2090,767,1,unimportant
3607,862,1,unimportant
3108,662,1,unimportant
15142,1242,1,unimportant
6608,1166,1,unimportant
135821,5252,1,unimportant
74791,3935,1,unimportant
9841,1314,1,unimportant
6243,1672,1,unimportant
7030,808,1,unimportant
80441,3759,1,unimportant
2488,1277,1,unimportant
3267,975,1,unimportant
20928,2177,1,unimportant
8025,1072,1,unimportant
4139,1117,1,unimportant
47621,4848,1,unimportant
5236,813,1,unimportant
18901,1095,1,unimportant
23369,1942,1,unimportant
23294,2154,1,unimportant
3770,844,1,unimportant
29550,2652,1,unimportant
139379,3622,1,unimportant
3940,1007,1,unimportant
7279,1527,1,unimportant
2135,462,1,unimportant
1087,378,1,unimportant
27452,4129,0,unimportant
70083,4292,1,unimportant
363727,7558,1,unimportant
4277,1161,1,unimportant
1534,546,1,unimportant
9590,1212,1,unimportant
3245,988,1,unimportant
115762,6232,1,unimportant
194893,3867,1,unimportant
10526,2028,1,unimportant
10400,1839,1,unimportant
860,358,1,unimportant
2143,669,1,unimportant
14671,1876,1,unimportant
10097,1459,1,unimportant
116984,5077,0,unimportant
140296,4983,1,unimportant
3753,864,1,unimportant
79591,4129,1,unimportant
55201,3355,1,unimportant
11730,1904,1,unimportant
139200,7473,0,unimportant
24423,2093,1,unimportant
6543,530,1,unimportant
13719,1566,1,unimportant
3985,882,1,unimportant
13371,1437,1,unimportant
15721,1479,1,unimportant
7010,1387,1,unimportant
80353,6184,0,unimportant
9382,1272,1,unimportant
8148,1899,1,unimportant
387,209,1,important
1742,506,1,important
3336,677,1,unimportant
12205,1985,0,unimportant
