@relation 'aggregative attrs'

@attribute count_aw numeric
@attribute count_mw numeric
@attribute 'normalized count_aw' numeric
@attribute 'normalized count_mw' numeric
@attribute PMI_aw numeric
@attribute PMI_mw numeric
@attribute entropy_aw numeric
@attribute entropy_mw numeric
@attribute 'jaccard similarity_aw' numeric
@attribute 'jaccard similarity_mw' numeric
@attribute 'NMS similarity_aw' numeric
@attribute 'NMS similarity_mw' numeric
@attribute 'ontology mentioned_aw' numeric
@attribute 'ontology mentioned_mw' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication_aw' numeric
@attribute 'time to indication_mw' numeric
@attribute label {important,unimportant}

@data
1,1,0.625,0.25,-0.455331,-1.223692,0,0,0.000371,0.00027,0.111283,0.028818,0,0,2110,697,1,7.5,4,unimportant
1,1,0.75,0.5,1.718473,0.950112,0,0,0.001854,0.000455,0.351342,0.238314,0,0,240,142,1,5,3,unimportant
1.5,1,0.75,0.5,0.124508,-0.297279,0,0,0.000887,0.000607,0.22278,0.147132,0,0,1671,527,1,7.5,1,unimportant
2.5,1,0.722222,0.444444,-0.588685,-2.050193,0.173287,0,0.000771,0.000347,0.149172,0.01625,0,0,4822,1483,1,11,1,unimportant
4,2,0.35,0.3,-0.612589,-0.831644,0,0,0.000894,0.000726,0.18269,0.141892,1,1,8554,1613,1,6.5,1,unimportant
1,1,1,1,-1.456102,-2.224463,0,0,0.000305,0.000184,0.053992,0.031527,0,0,5740,817,1,13,10,unimportant
1,1,0.75,0.5,0.621251,-0.14711,0,0,0.00067,0.000381,0.220786,0.139146,0,0,719,302,1,6,1,unimportant
3.5,1,0.595238,0.333333,3.25871,3.131191,0.112641,0,0.003328,0.002854,0.47267,0.450736,0,0,126,71,1,9,5,unimportant
3,1,0.916667,0.833333,2.251258,2.214901,0,0,0.003234,0.002193,0.43135,0.376634,0,0,315,164,1,2,1,unimportant
1.5,1,1,1,1.29571,0.873923,0.173287,0,0.000976,0.000814,0.289565,0.243725,0,0,518,261,1,6,2,unimportant
2,1,0.464286,0.428571,0.545013,0.325958,0,0,0.001109,0.000633,0.252787,0.235324,0,0,1344,520,1,1.5,1,unimportant
4.5,2,0.384211,0.368421,-0.385174,-0.527154,0,0,0.001342,0.000516,0.214261,0.187849,0,0,7360,1059,1,4.5,3,unimportant
21,3,0.428241,0.375,2.21186,1.697746,0.096333,0,0.008778,0.001713,0.443522,0.339234,0,0,1585,412,1,5,2,unimportant
1.5,1,0.75,0.5,-2.104522,-3.219456,0,0,0.000688,0.000227,0.115096,0.094267,0,0,15525,1674,1,15,10,unimportant
1,1,0.5,0.5,0.659526,-0.108835,0,0,0.001815,0.001569,0.348124,0.305647,0,0,692,187,1,4.5,3,unimportant
1,1,1,1,2.829664,2.061303,0,0,0.001258,0.000483,0.377964,0.306697,0,0,79,61,1,9.5,1,unimportant
25,13,0.369308,0.245283,1.098849,0.853472,0.114516,0,0.003816,0.001872,0.34103,0.325071,0,0,9781,2252,0,1,1,unimportant
2,1,0.75,0.5,2.618519,1.300852,0.159129,0,0.002888,0.000466,0.389067,0.259416,0,0,169,110,1,3,1,unimportant
1,1,0.75,0.5,1.34404,0.575679,0,0,0.000902,0.000433,0.28422,0.202214,0,0,349,242,1,16.5,1,unimportant
1.5,1,0.5,0.333333,1.293782,0.178847,0.173287,0,0.500207,0.000414,0.588224,0.176447,0,0,519,194,1,5,3,unimportant
3,1,0.619047,0.238095,2.257628,0.684548,0.125101,0,0.004626,0.000441,0.387819,0.214483,0,0,313,170,1,3.5,1,unimportant
6.5,2,0.394737,0.289474,1.566851,-0.053884,0.289246,0.231918,0.008216,0.001014,0.405468,0.225569,0,0,1310,284,1,4,1,unimportant
3,2,0.309524,0.285714,-0.429019,-1.543954,0.173287,0,0.000946,0.000507,0.180898,0.064117,0,0,5813,932,1,4,1,unimportant
2.5,1,0.590909,0.181818,-0.915811,-0.991025,0.140584,0,0.000577,0.000398,0.135325,0.10959,0,0,6688,1188,1,4,1,unimportant
1.5,1,0.625,0.25,-0.006552,-1.121486,0,0,0.00089,0.000279,0.179322,0.037873,0,0,1905,609,1,1.5,1,unimportant
28,3,0.595834,0.441667,-0.166618,-0.834097,0.255351,0.192444,0.001847,0.000247,0.189209,0.10293,0,0,19934,2852,0,2.5,1,unimportant
14,1,0.403508,0.333333,1.418697,0.53914,0.113101,0,0.007203,0.000539,0.371609,0.212214,0,0,1683,471,1,6,1,unimportant
4.5,1,0.458334,0.25,2.901295,2.629935,0,0,0.002445,0.001669,0.41934,0.400301,0,0,208,116,1,5,2,unimportant
1,1,0.416666,0.333333,-1.33906,-2.107421,0,0,0.000389,0.00033,0.090829,0.006744,0,0,5106,982,1,4,1,unimportant
5.5,5,0.706349,0.555556,5.528541,5.150003,0,0,0.023176,0.015424,0.67909,0.640528,0,0,66,33,1,2,1,important
6,1,0.958333,0.916667,4.581816,3.852567,0.100028,0,0.019771,0.0131,0.661953,0.641751,0,0,103,59,1,12,4,important
1,1,0.625,0.25,1.562399,1.092699,0,0,0.001354,0.001178,0.3671,0.339414,0,0,636,255,1,8,2,important
1,1,0.75,0.5,3.255423,2.785724,0,0,0.003072,0.002222,0.488346,0.44731,0,0,117,61,1,9,9,unimportant
2,2,1,1,1.827282,1.357582,0,0,0.00178,0.001627,0.381067,0.353993,0,0,976,382,1,7,5,unimportant
2.5,1,0.5,0.5,0.272594,0.049146,0.140584,0,0.000605,0.000251,0.236212,0.199457,0,0,4620,1294,0,1,1,unimportant
2,2,0.75,0.5,1.657158,1.187459,0,0,0.001706,0.001565,0.375655,0.348344,0,0,1157,289,1,6,5,unimportant
2,1,1,1,4.136086,4.056479,0,0,0.005924,0.004566,0.556493,0.545752,0,0,84,49,1,9.5,9,unimportant
4.5,3,0.520833,0.375,2.392059,2.268933,0,0,0.004348,0.002648,0.46335,0.437182,0,0,1177,279,1,3,1,unimportant
2,1,0.875,0.75,-0.244898,-1.263903,0,0,0.000559,0.000181,0.210297,0.094293,0,0,6713,1224,1,4,1,unimportant
1.5,1,0.666667,0.333333,1.211119,1.087993,0,0,0.001107,0.000812,0.327257,0.321602,0,0,1278,376,1,7.5,4,unimportant
1.5,1,0.5,0.5,1.011729,0.195457,0.173287,0,0.001046,0.000637,0.311607,0.246412,0.5,0,1560,471,1,2,2,unimportant
1.5,1,0.35,0.2,3.182387,3.059261,0,0,0.002796,0.002083,0.476386,0.43477,0,0,178,97,1,9,3,unimportant
2.5,1,0.785714,0.571429,-0.810164,-1.033612,0.140584,0,0.000358,0.000091,0.16019,0.098436,0,0,13642,2146,0,3,2,unimportant
1,1,0.75,0.5,4.926554,4.456855,0,0,0.004487,0.002801,0.559164,0.523808,0,0,22,18,1,4.5,1,unimportant
3.5,1,0.875,0.75,6.603841,5.609281,0.168568,0,0.018437,0.005128,0.641799,0.560573,0,0,70,48,1,2.5,1,important
4.5,3,0.486111,0.222222,1.113164,0.86527,0.155306,0,0.000429,0.000191,0.237609,0.17768,0,0,29392,3913,0,3,1,unimportant
2,1,0.65,0.3,1.805748,1.355121,0.159129,0,0.0016,0.000266,0.327294,0.212294,0,0,6003,900,1,6,2,unimportant
3,1,0.40625,0.3125,3.14637,2.440331,0.166522,0,0.002732,0.000605,0.395463,0.295743,0,0,2028,335,1,2,1,unimportant
3.5,1,0.242857,0.2,0.320987,-0.673573,0.166208,0,0.000173,0.000069,0.146265,0.079318,0,0,37472,4316,0,2,1,unimportant
11,2,0.595238,0.190476,6.121475,6.043418,0.089923,0,0.0348,0.004695,0.640332,0.525214,0,0,705,180,1,1.5,1,important
3,2,0.666667,0.666667,5.919116,4.499307,0,0,0.014027,0.007968,0.61487,0.590457,0,0,386,102,1,1,1,important
3,2,0.336956,0.173913,3.122214,2.395552,0.346574,0.346574,0.000626,0.000226,0.236928,0.227898,0,0,6328,968,1,4.5,3,unimportant
2,1,0.282051,0.230769,3.539515,1.916973,0,0,0.001233,0.000503,0.309576,0.188852,0,0,2553,444,1,5.5,5,unimportant
2,2,0.476191,0.285714,-0.390583,-1.463819,0,0,0.000055,0.000018,0,0,0,0,150086,7646,0,3.5,1,unimportant
1,1,0.6,0.2,4.251824,3.178588,0,0,0.002468,0.002364,0.442516,0.412958,0,0,723,119,1,6.5,6,unimportant
14,3,0.233585,0.176471,1.127104,1.114,0.23644,0.154622,0.000412,0.000074,0.161197,0.123642,0,0,142468,6763,0,4.5,1,unimportant
40,5,0.330062,0.2,3.771134,3.490345,0.253217,0.169928,0.002397,0.000908,0.370163,0.35479,0,0,22642,2267,1,1.5,1,unimportant
232.5,20,0.244854,0.17094,3.897829,3.445494,0.157585,0.074128,0.019879,0.003239,0.508107,0.466391,0,0,17688,2065,1,1,1,important
121.5,3,0.357486,0.1875,4.366035,4.178528,0.216282,0.114306,0.017571,0.004692,0.537459,0.504658,1,1,3150,513,1,1,1,important
96,44,0.203491,0.189655,5.553257,4.156262,0.106653,0.09472,0.028819,0.025875,0.617733,0.573915,0,0,2890,347,1,1,1,important
394.5,15,0.276528,0.185185,4.991566,4.95982,0.150318,0.058159,0.041166,0.009643,0.619579,0.569497,0,0,6767,781,1,1,1,important
58.5,7,0.212139,0.166667,2.631131,2.004909,0.24834,0.186716,0.008443,0.003048,0.430473,0.40017,0,0,18465,2008,1,1,1,important
38.5,1,0.273438,0.25,2.245355,2.083495,0.091525,0,0.004249,0.000704,0.333575,0.325251,0,0,8532,1201,1,3,1,important
16.5,1,0.19264,0.142857,3.147085,2.876446,0.110767,0,0.00307,0.002311,0.387668,0.334128,0,0,2247,531,1,6.5,1,important
7,6,0.303846,0.3,5.783964,3.924299,0.173287,0,0.007576,0.001577,0.514278,0.380389,0,0,197,72,1,11,2,unimportant
2.5,1,0.785714,0.571429,1.85432,0.543961,0.140584,0,0.001417,0.000902,0.278662,0.206596,0,0,2894,469,1,1.5,1,unimportant
6,5,0.173511,0.12963,0.999423,-1.172319,0.159283,0,0.001733,0.001239,0.23694,0.096918,0,0,20127,1891,1,5,1,unimportant
7.5,5,0.225045,0.147059,3.707947,2.051014,0.339809,0.333045,0.002887,0.001029,0.351217,0.192811,0,0,1603,425,1,7,1,unimportant
2.5,1,0.166666,0.142857,2.646169,1.33581,0,0,0.004748,0.000635,0.366964,0.163483,0,0,1311,493,1,10.5,6,unimportant
7.5,1,0.218346,0.111111,0.964792,0.280814,0.143276,0,0.00415,0.000118,0.246978,0.158539,0,0,13178,1624,1,3.5,1,unimportant
1.5,1,0.202381,0.071429,1.14319,-0.513743,0,0,0.000285,0.000178,0.136302,0,0,0,4167,879,1,14,13,unimportant
5,1,0.208334,0.166667,2.191991,1.287096,0.087208,0,0.000793,0.000472,0.2146,0.138514,0.5,0,3097,562,1,7,3,unimportant
9.5,3,0.377976,0.375,2.270678,1.10416,0.322276,0.278348,0.003161,0.000919,0.325728,0.300969,0,0,6611,897,1,1.5,1,unimportant
3,1,0.167294,0.071429,2.40688,1.208093,0.158379,0,0.00213,0.001384,0.341975,0.291145,0,0,1862,689,1,7,3,unimportant
19.5,1,0.441919,0.383838,1.807871,1.623158,0.098996,0,0.002982,0.000834,0.304311,0.267958,0,0,9344,1909,1,1,1,unimportant
4,1,0.127315,0.125,0.969013,-0.061538,0.15963,0,0.001051,0.000216,0.180119,0.144495,0,0,9279,1366,1,6,1,unimportant
1,1,0.375,0.25,1.953785,-0.049721,0,0,0.002089,0.000106,0.249688,0,0,0,1310,260,1,6,1,unimportant
9.5,1,0.143581,0.125,2.302906,1.744586,0.134904,0,0.001858,0.00043,0.277182,0.272783,0,0,3920,726,1,6,1,unimportant
4,1,0.212903,0.2,0.030491,-1.00006,0,0,0.001907,0.000071,0.142596,0.110353,0,0,23719,1975,1,5.5,1,unimportant
3,2,0.291666,0.25,1.681466,0.024533,0.313871,0.281168,0.000788,0.000483,0.182831,0.07493,0,0,4865,1179,1,1.5,1,unimportant
15,1,0.211984,0.125,2.40873,2.088872,0.037498,0,0.002933,0.000292,0.281736,0.244421,0,0,4476,929,1,5.5,1,unimportant
5,3,0.224359,0.115385,0.052405,-1.527452,0.318412,0.318257,0.000667,0.000494,0.145573,0,0,0,40192,2165,1,1,1,unimportant
6.5,1,0.202035,0.125,0.769883,0.00883,0.142413,0,0.000603,0.000105,0.076404,0.00537,0.5,0,14826,2050,1,4,2,unimportant
15,3,0.198733,0.107143,?,?,0.159129,0,0.000772,0.000055,0.043482,0,0,0,340047,7377,1,1,1,unimportant
4,2,0.309524,0.285714,1.545233,0.091033,0.168568,0,0.0008,0.000546,0.191587,0.080795,1,1,6828,870,1,5,1,unimportant
36,1,0.272917,0.25,3.048443,2.920609,0.104495,0,0.005704,0.000395,0.350436,0.273288,0,0,3694,662,1,6,1,unimportant
1,1,0.266667,0.2,-0.252138,-2.255644,0,0,0.000093,0.00006,0.08237,0,0,0,11893,1524,1,3,1,unimportant
26,6,0.241208,0.153846,1.240908,0.255843,0.207659,0.078184,0.003249,0.000378,0.240534,0.215039,0,0,44394,4699,1,1.5,1,unimportant
21.5,1,0.2375,0.125,1.848009,1.713337,0.091868,0,0.002312,0.000179,0.22837,0.197953,0,0,9437,1366,1,2,1,unimportant
118.5,2,0.212267,0.133333,1.122152,0.742439,0.221072,0.095569,0.003351,0.000173,0.203667,0.193263,0,0,65237,5290,1,1,1,unimportant
216.5,2,0.215346,0.08,0.905426,0.222452,0.250749,0.154924,0.006765,0.000039,0.187405,0.055105,0,0,109729,4948,0,3.5,1,unimportant
6,1,0.148776,0.111111,1.711307,0.906748,0.076159,0,0.000665,0.000274,0.159862,0.081449,0,0,5537,804,1,5.5,3,unimportant
1,1,0.225,0.2,1.360923,-0.642584,0,0,0.000845,0.00062,0.238095,0.158733,0,0,2370,502,1,4,3,unimportant
6,2,0.209956,0.181818,1.940418,0.085187,0.106506,0,0.001794,0.000557,0.238924,0.046233,0.5,0,8154,1180,1,1.5,1,important
71,2,0.19702,0.133333,1.861796,0.788061,0.227792,0.10901,0.005753,0.000709,0.345689,0.286109,0,0,33005,2579,1,1,1,important
24.5,1,0.281818,0.2,2.559298,1.674209,0.118749,0,0.003923,0.000778,0.349748,0.298479,0,0,6803,1247,1,1,1,important
10.5,4,0.23083,0.222222,2.857889,2.530837,0.299064,0.251554,0.003592,0.001655,0.372344,0.371585,0,0,6007,928,1,2,1,important
10,3,0.238354,0.107143,3.037948,2.854736,0.326842,0.287479,0.002701,0.001526,0.354204,0.341415,0,0,4345,676,1,1,1,important
10.5,1,0.127137,0.083333,1.448535,1.001181,0.114285,0,0.001888,0.000235,0.224658,0.178302,0,0,13335,1019,1,1,1,important
5,1,0.168055,0.111111,-1.308441,-1.356541,0,0,0.000119,0.000011,0,0,0,0,140909,5357,1,1.5,1,unimportant
4.5,2,0.180804,0.142857,0.740783,-0.936111,0.132718,0,0.000409,0.000376,0.11181,0,0,0,22642,2267,1,4.5,1,unimportant
17,1,0.424479,0.333333,1.522053,0.824311,0.107533,0,0.001373,0.000076,0.142796,0.065625,0,0,15915,2252,1,1,1,unimportant
1,1,0.416666,0.333333,-0.440471,-1.490983,0,0,0.000228,0.000076,0.032914,0,0,0,19718,1628,1,7.5,2,unimportant
1,1,0.126984,0.111111,-0.324449,-1.374961,0,0,0.000597,0.000178,0.121635,0.093056,0,0,17558,1505,1,2,2,unimportant
3,1,0.393939,0.333333,1.783224,-0.072007,0,0,0.000745,0.000158,0.175789,0,0,0,4771,873,0,2.5,1,unimportant
5.5,1,0.482143,0.25,2.157855,2.057074,0.152716,0,0.005641,0.000259,0.325361,0.18995,0,0,4639,1042,1,2,1,unimportant
1.5,1,0.625,0.25,1.872767,1.168828,0,0,0.000571,0.00049,0.188113,0.119154,0,0,2759,394,1,5,1,unimportant
3,2,0.365079,0.285714,1.531542,0.134456,0.313871,0.281168,0.000591,0.00049,0.156833,0.062271,0,0,7762,1213,1,2.5,1,unimportant
42,2,0.497992,0.329317,0.079786,-0.726488,0.093055,0,0.000607,0.000028,0.043731,0,0,0,150086,7646,0,1.5,1,unimportant
27.5,13,0.298869,0.215385,0.733253,0.269101,0.178503,0.178351,0.000597,0.000286,0.123916,0.05202,0,0,142468,6763,0,1,1,unimportant
3.5,1,0.339286,0.25,1.775289,1.620657,0.112641,0,0.002402,0.000502,0.293646,0.255246,0,0,5268,1040,1,1,1,unimportant
1,1,0.266667,0.2,0.112284,-0.938228,0,0,0.000311,0.000109,0.05448,0.006406,0,0,11345,1407,1,1,1,unimportant
12,2,0.307036,0.285714,3.082489,2.934053,0.118146,0,0.002429,0.000599,0.30758,0.273439,0,0,3860,956,1,1.5,1,unimportant
26.5,6,0.243036,0.24,1.946859,0.166896,0.268162,0.247137,0.002087,0.000911,0.234903,0.088589,1,1,25212,2082,1,1,1,important
2.5,2,0.215385,0.2,0.812864,0.264828,0.332415,0.318257,0.000579,0.000145,0.083351,0.046193,1,1,11430,1336,1,2.5,1,important
2,1,0.236364,0.2,-0.66118,-0.862644,0,0,0.000235,0.000084,0,0,0,0,35294,2928,1,18.5,9,important
8,6,0.517392,0.434783,1.707259,0.701077,0.315648,0.294162,0.000781,0.000696,0.151914,0.064419,0,0,14778,1761,1,2,2,important
1,1,0.333334,0.166667,0.960701,0.209932,0,0,0.000442,0.000423,0.128019,0.078581,1,1,4025,627,1,2,2,important
4.5,1,0.326666,0.32,-0.173651,-0.462603,0.151626,0,0.000424,0.000079,0.026918,0,0,0,35396,3117,1,1,1,important
14,8,0.206637,0.156863,1.35392,1.061296,0.22358,0.201953,0.001532,0.000818,0.21444,0.199258,0.5,0,34360,2353,1,1,1,important
3.5,2,0.75,0.5,1.88256,1.589936,0.173287,0,0.000657,0.000409,0.168526,0.164108,0,0,5063,561,1,1,1,important
3.5,1,0.086316,0.052632,0.047173,-0.097938,0.144594,0,0.000697,0.00035,0.123881,0.108598,0,0,24580,2155,1,1.5,1,important
8,3,0.334656,0.240741,-0.351328,-0.368928,0.308783,0.299309,0.000209,0.000032,0,0,0,0,93348,4762,1,7.5,1,unimportant
31.5,22,0.28251,0.247191,0.864748,-0.197286,0.156882,0.12255,0.000583,0.000431,0.108052,0,0,0,133058,6626,0,1,1,unimportant
17,2,0.264822,0.181818,1.677543,1.042018,0.281637,0.216699,0.001989,0.000548,0.231242,0.188963,0,0,15723,2237,1,1.5,1,unimportant
3.5,2,0.420635,0.285714,0.707786,0.415162,0.17582,0,0.000541,0.000262,0.092005,0.076223,0,0,16391,1774,1,3,3,unimportant
1,1,1,1,1.13772,0.386951,0,0,0.000453,0.000319,0.11563,0.090255,0,0,3372,966,1,10.5,10,unimportant
2.5,2,0.282051,0.230769,0.562143,0.014106,0.332415,0.318257,0.000273,0.000205,0.040807,0,0,0,14687,1720,1,1.5,1,unimportant
1,1,0.625,0.25,0.303599,-0.44717,0,0,0.000414,0.000358,0.087178,0,0,0,7765,1129,1,21,20,unimportant
2,1,0.2875,0.2,2.165368,1.963905,0.159129,0,0.000608,0.000479,0.171293,0.148338,0,0,2090,767,1,4,1,unimportant
1,1,0.75,0.5,1.070349,0.31958,0,0,0.000327,0.000288,0.07446,0.02053,0,0,3607,862,1,21,9,unimportant
2.5,2,0.213235,0.176471,2.115126,1.161625,0.332415,0.318257,0.000821,0.000446,0.179375,0.069792,0,0,3108,662,1,2.5,1,unimportant
1,1,0.666667,0.333333,-0.364247,-1.115016,0,0,0.000218,0.000129,0.016429,0,0.5,0,15142,1242,1,11,5,unimportant
3.5,2,0.75,0.5,1.616237,0.407323,0.158379,0,0.00113,0.000406,0.166914,0.008787,0,0,6608,1166,1,2,2,unimportant
5,3,0.295681,0.162791,-1.035851,-1.362971,0.329855,0.318257,0.00013,0.000069,0,0,0,0,135821,5252,1,1,1,unimportant
5,1,0.25974,0.090909,-0.862859,-1.210702,0.165838,0,0.00026,0.000083,0,0,0.5,0,74791,3935,1,2.5,1,unimportant
1,1,0.75,0.5,0.066669,-0.684101,0,0,0.000192,0.000151,0.025657,0,0,0,9841,1314,1,12.5,4,unimportant
1,1,0.666667,0.333333,0.521765,-0.229004,0,0,0.000158,0.000134,0.036596,0,0,0,6243,1672,1,10.5,5,unimportant
1,1,0.375,0.25,0.40304,-0.34773,0,0,0.000204,0.000165,0.054032,0,0,0,7030,808,1,27.5,21,unimportant
9.5,1,0.149878,0.125,-0.589112,-1.283528,0.087208,0,0.000306,0.000038,0.004171,0,0,0,80441,3759,1,7,1,unimportant
1.5,1,0.5625,0.125,1.78832,1.384125,0,0,0.000521,0.000385,0.141661,0.118225,0,0,2488,1277,1,8.5,1,unimportant
4,1,0.561403,0.122807,2.14231,0.418585,0.132718,0,0.002386,0.001412,0.304362,0.211211,0,0,3267,975,1,5,1,unimportant
4.5,4,0.352272,0.25,0.810004,-0.052337,0.140584,0,0.000364,0.000317,0.063981,0,0,0,20928,2177,1,3.5,1,unimportant
4,2,0.225,0.2,1.513118,1.311655,0.166208,0,0.001215,0.000998,0.21967,0.180721,0.5,0,8025,1072,1,2.5,2,unimportant
1,1,0.625,0.25,0.932772,0.182003,0,0,0.000351,0.000314,0.086351,0.033647,0,0,4139,1117,1,4,4,unimportant
4.5,4,0.369281,0.294118,-0.012182,-0.651379,0.265684,0.250201,0.000513,0.000174,0.062336,0.060619,0,0,47621,4848,1,2,1,unimportant
4,2,0.611111,0.222222,1.940122,0.640046,0.183102,0,0.001158,0.00113,0.218842,0.158423,0,0,5236,813,1,7.5,4,unimportant
1,1,0.333333,0.333333,-0.585988,-1.336758,0,0,0.000256,0.000162,0.027556,0,0,0,18901,1095,1,6,4,unimportant
3,1,0.333334,0.166667,0.006535,-0.047415,0.168253,0,0.000233,0.000057,0,0,0,0,23369,1942,1,9.5,3,unimportant
15,2,0.4,0.333333,1.217706,-0.852592,0.140584,0,0.001049,0.000154,0.162008,0,0,0,23294,2154,1,1.5,1,unimportant
47.5,1,0.697479,0.394958,3.297799,1.776921,0.125841,0,0.008627,0.000326,0.34151,0.143813,0,0,3770,844,1,1,1,unimportant
1.5,1,0.590909,0.181818,-0.686284,-1.09048,0.173287,0,0.000133,0.000127,0.01839,0,0,0,29550,2652,1,27,21,unimportant
4,3,0.567307,0.384615,-1.229945,-2.236128,0,0,0.000218,0.000096,0,0,0,0,139379,3622,1,8,1,unimportant
2.5,2,0.442857,0.285714,1.877925,1.329888,0.173287,0,0.000643,0.000562,0.154966,0.109341,0,0,3940,1007,1,19,18,unimportant
1,1,0.216666,0.1,0.368233,-0.382537,0,0,0.000315,0.000155,0.037954,0.021812,0,0,7279,1527,1,18,9,unimportant
6,3,0.696429,0.642857,3.242678,3.041215,0.087208,0,0.001339,0.001098,0.27091,0.253228,0,0,2135,462,1,3.5,2,unimportant
3.5,1,0.266667,0.2,3.165685,3.020574,0,0,0.001642,0.0008,0.301899,0.270772,0,0,1087,378,1,7,7,unimportant
5.5,3,0.435715,0.3,0.629814,0.369459,0,0,0.000565,0.000233,0.084511,0.076097,0,0,27452,4129,0,10.5,3,unimportant
6,6,0.589286,0.428571,-0.104695,-0.855464,0.159129,0,0.00025,0.000099,0,0,0,0,70083,4292,1,4,1,unimportant
8,6,0.350202,0.315789,-1.496005,-1.991362,0.112641,0,0.00018,0.000052,0,0,0,0,363727,7558,1,2.5,2,unimportant
5,1,0.736842,0.473684,1.998586,0.149205,0.141448,0,0.001291,0.000175,0.178863,0,0,0,4277,1161,1,19.5,1,unimportant
4.5,3,0.380769,0.3,3.370533,2.966338,0.318257,0.318257,0.001999,0.001418,0.318916,0.250564,0,0,1534,546,1,4,2,unimportant
1.5,1,0.666667,0.333333,0.439079,-0.658264,0.173287,0,0.000424,0.000205,0.103635,0,0,0,9590,1212,1,1,1,unimportant
1.5,1,0.6,0.2,1.522684,1.118489,0,0,0.002657,0.000347,0.26678,0.151896,0,0,3245,988,1,15.5,3,unimportant
9,1,0.260378,0.2,-0.981703,-1.647541,0,0,0.000165,0.000036,0,0,0.5,0,115762,6232,1,4,2,unimportant
2.5,2,0.380952,0.333333,-2.023345,-2.976847,0.173287,0,0.000769,0.000078,0.064701,0,0,0,194893,3867,1,9.5,4,unimportant
1.5,1,0.625,0.25,0.345952,-0.058244,0,0,0.000587,0.000118,0.070828,0.022932,0,0,10526,2028,1,18.5,4,unimportant
1.5,1,0.291666,0.25,0.357994,-0.046202,0.173287,0,0.000228,0.000136,0.019273,0,0,0,10400,1839,1,26.5,17,unimportant
2.5,1,0.9,0.8,3.197196,3.139574,0.140584,0,0.001082,0.000879,0.275691,0.264647,0,0,860,358,1,22.5,19,unimportant
1,1,0.583333,0.166667,1.59102,0.84025,0,0,0.000377,0.000252,0.1084,0.015999,0,0,2143,669,1,10.5,3,unimportant
3.5,2,0.35,0.2,0.818646,0.526022,0.173287,0,0.000847,0.000114,0.094765,0.018301,0,0,14671,1876,1,1.5,1,unimportant
3,1,0.583333,0.333333,0.845706,-0.709782,0.125101,0,0.000797,0.000599,0.149501,0.04451,0,0,10097,1459,1,3,1,unimportant
26,4,0.293334,0.266667,0.219937,-0.271747,0.276411,0.206248,0.000655,0.00011,0.057427,0.010311,0,0,116984,5077,0,1,1,unimportant
4,2,0.204861,0.1875,-1.348075,-1.549538,0.168568,0,0.000065,0.000033,0,0,0,0,140296,4983,1,9.5,4,unimportant
1,1,1,1,1.030671,0.279901,0,0,0.000344,0.000306,0.082924,0.029867,0,0,3753,864,1,41,36,unimportant
4.5,4,0.199605,0.181818,-0.525809,-1.165006,0.173287,0,0.000169,0.000058,0,0,0,0,79591,4129,1,1.5,1,unimportant
1,1,0.75,0.5,-1.657755,-2.408524,0,0,0.000207,0.000048,0,0,0,0,55201,3355,1,16.5,12,unimportant
1,1,0.535714,0.071429,-0.108924,-0.859693,0,0,0.000145,0.000109,0.006924,0,0,0,11730,1904,1,18.5,1,unimportant
79.5,13,0.313856,0.310638,1.191593,0.733033,0.210381,0.121383,0.001017,0.000246,0.127111,0.097174,0,0,139200,7473,0,1,1,unimportant
3,1,0.125,0.125,-0.037581,-1.593069,0.17582,0,0.000443,0.000065,0.115585,0,0,0,24423,2093,1,4,2,unimportant
1,1,0.291666,0.25,0.474831,-0.275939,0,0,0.000208,0.000167,0.055232,0,0,0,6543,530,1,32,23,unimportant
1.5,1,0.216666,0.1,0.081018,-0.323178,0.173287,0,0.000674,0.0001,0.069538,0.003181,0,0,13719,1566,1,2,2,unimportant
2.5,2,0.440476,0.214286,1.866569,0.913067,0.332415,0.318257,0.000679,0.000603,0.164725,0.120107,0,0,3985,882,1,2.5,1,unimportant
1.5,1,0.266667,0.2,0.106711,-0.297484,0.173287,0,0.000295,0.000098,0.006299,0.001399,0,0,13371,1437,1,2,1,unimportant
1,1,1,1,-0.401772,-1.152541,0,0,0.000081,0.000074,0,0,0,0,15721,1479,1,32,22,unimportant
